nama,berat,url,negara,noc,cabor,negl,kotal,tinggi,tgll,status
NURUL HUDA SHAMSUZZAMAN,70kg,https://id.asiangames2018.id/athletes/athlete/SHAMSUZZAMAN-Nurul-Huda-3004563/,Bangladesh,BAN,Bridge,Bangladesh,DHAKA,170CM,04/13/1951,
ALI SHAN,68kg,https://id.asiangames2018.id/athletes/athlete/SHAN-Ali-3016329/,Pakistan,PAK,Hoki,Pakistan,KASUR,173CM,09/25/1993,
CHANGSHUN SHAN,75kg,https://id.asiangames2018.id/athletes/athlete/SHAN-Changshun-3010836/,China,CHN,Rugby 7,China,,180CM,02/06/1996,
JUN SHAN,62kg,https://id.asiangames2018.id/athletes/athlete/SHAN-Jun-3005978/,China,CHN,Tinju,China,,173CM,08/07/1994,
MD RUMAN SHANA,70kg,https://id.asiangames2018.id/athletes/athlete/SHANA-Md-Ruman-3013260/,Bangladesh,BAN,Panahan,Bangladesh,KHULNA,170CM,06/08/1995,
KEYUAN SHANG,79kg,https://id.asiangames2018.id/athletes/athlete/SHANG-Keyuan-3008835/,China,CHN,Renang  ,China,,183CM,02/04/1995,
RONG SHANG,51kg,https://id.asiangames2018.id/athletes/athlete/SHANG-Rong-3010310/,China,CHN,Senam Ritmik,China,,170CM,02/12/2000,
YI SHANG,63kg,https://id.asiangames2018.id/athletes/athlete/SHANG-Yi-3015390/,China,CHN,Judo,China,,170CM,03/16/1994,
NAN SHAO,70kg,https://id.asiangames2018.id/athletes/athlete/SHAO-Nan-3015415/,China,CHN,Judo,China,,172CM,06/13/1993,
Ting Shao,85kg,https://id.asiangames2018.id/athletes/athlete/SHAO-Ting-3011641/,China,CHN,Basket,NA,,190CM,12/10/1989,
YAQI SHAO,75kg,https://id.asiangames2018.id/athletes/athlete/SHAO-Yaqi-3011051/,China,CHN,Anggar,China,,181CM,11/28/1996,
GHAZAL SHARAFPOUR,51kg,https://id.asiangames2018.id/athletes/athlete/SHARAFPOUR-Ghazal-3023360/,IR Iran,IRI,Squash,IslamicRepublicofIran,,156CM,02/21/1998,
Omar Sharahili,73kg,https://id.asiangames2018.id/athletes/athlete/SHARAHILI-Omar-3012668/,Kingdom of Saudi Arabia,KSA,Polo Air,NA,,177CM,04/27/1993,
DIVIJ SHARAN,78kg,https://id.asiangames2018.id/athletes/athlete/SHARAN-Divij-3014270/,India,IND,Tenis,India,DELHI,182CM,03/02/1986,
ABDUVAHOB SHARAPOV,60kg,https://id.asiangames2018.id/athletes/athlete/SHARAPOV-Abduvahob-3005068/,Tajikistan,TJK,Karate,Tajikistan,DUSHANBE,165CM,10/31/2000,
ARNAB SHARAR,75kg,https://id.asiangames2018.id/athletes/athlete/SHARAR-Arnab-3014201/,Bangladesh,BAN,Menembak,Bangladesh,DHAKA,177CM,11/14/2001,
ABDULLAH WALEED SHARBATLY,72kg,https://id.asiangames2018.id/athletes/athlete/SHARBATLY-Abdullah-Waleed-3008117/,Kingdom of Saudi Arabia,KSA,Berkuda,KingdomofSaudiArabia,JEDDAH,177CM,09/21/1982,
ASEL SHARBEKOVA,55kg,https://id.asiangames2018.id/athletes/athlete/SHARBEKOVA-Asel-3011976/,Kyrgyzstan,KGZ,Panahan,Kyrgyzstan,BISHKEK,165CM,07/25/1990,
AFIF M. SHARIEF,67kg,https://id.asiangames2018.id/athletes/athlete/SHARIEF-Afif-M-3029098/,Philippines,PHI,Karate,Philippines,,180CM,11/23/1992,
MUHAMAD AMRAN SHARIF HUSSAIN,70kg,https://id.asiangames2018.id/athletes/athlete/SHARIF-HUSSAIN-Muhamad-Amran-3012274/,Malaysia,MAS,Kano/Kayak Sprint,Malaysia,,172CM,12/12/1992,
MORTEZA SHARIFI,-,https://id.asiangames2018.id/athletes/athlete/SHARIFI-Morteza-3023262/,IR Iran,IRI,Bola Voli,IslamicRepublicofIran,,-,05/27/1999,
POURYA SHARIFI,80kg,https://id.asiangames2018.id/athletes/athlete/SHARIFI-Pourya-3003391/,IR Iran,IRI,Kano/Kayak Sprint,IslamicRepublicofIran,TEHRAN,190CM,10/28/1997,
MIRALI SHARIPOV,77kg,https://id.asiangames2018.id/athletes/athlete/SHARIPOV-Mirali-3002171/,Uzbekistan,UZB,Ju-Jitsu,Uzbekistan,,175CM,10/30/1987,
NIGINA SHARIPOVA,57kg,https://id.asiangames2018.id/athletes/athlete/SHARIPOVA-Nigina-3004117/,Uzbekistan,UZB,Atletik,Uzbekistan,,168CM,08/10/1995,
SABINA SHARIPOVA,70kg,https://id.asiangames2018.id/athletes/athlete/SHARIPOVA-Sabina-3001243/,Uzbekistan,UZB,Tenis,Uzbekistan,,174CM,09/04/1994,
NAIMA SYEEDA SHARITA,53kg,https://id.asiangames2018.id/athletes/athlete/SHARITA-Naima-Syeeda-3020064/,Indonesia,INA,Renang Artistik,Indonesia,,158CM,10/20/2000,
TUMENTSETSEG SHARKHUU,68kg,https://id.asiangames2018.id/athletes/athlete/SHARKHUU-Tumentsetseg-3028129/,Mongolia,MGL,Gulat,Mongolia,,168CM,06/24/1990,
VADIM SHARLAIMOV,115kg,https://id.asiangames2018.id/athletes/athlete/SHARLAIMOV-Vadim-3028756/,Kazakhstan,KAZ,Anggar,Kazakhstan,,200CM,12/09/1996,
CHIRAG SHARMA,62kg,https://id.asiangames2018.id/athletes/athlete/SHARMA-Chirag-3012225/,India,IND,Wushu,India,PATIALA,168CM,10/15/1992,
DANISH SHARMA,90kg,https://id.asiangames2018.id/athletes/athlete/SHARMA-Danish-3003981/,India,IND,Kurash,India,"JAMMU, J&K",188CM,10/02/1993,
Hitesh Sharma,64kg,https://id.asiangames2018.id/athletes/athlete/SHARMA-Hitesh-3003739/,India,IND,Sepak Bola,NA,,176CM,12/25/1997,
Nisha Sharma,57kg,https://id.asiangames2018.id/athletes/athlete/SHARMA-Nisha-3002138/,India,IND,Basket,NA,,167CM,12/12/1996,
Nisha Sharma,57kg,https://id.asiangames2018.id/athletes/athlete/SHARMA-Nisha-3002138/,India,IND,Basket,NA,,167CM,12/12/1996,
PANKAJ SHARMA,79kg,https://id.asiangames2018.id/athletes/athlete/SHARMA-Pankaj-3015378/,India,IND,Bola Voli,India,FRIUNKOTI,193CM,05/08/1993,
ANASTAS SHASHKOV,80kg,https://id.asiangames2018.id/athletes/athlete/SHASHKOV-Anastas-3021320/,Kazakhstan,KAZ,Dayung,Kazakhstan,,182CM,11/20/1994,
GERLEE SHATARBAL,60kg,https://id.asiangames2018.id/athletes/athlete/SHATARBAL-Gerlee-3027161/,Mongolia,MGL,Boling,Mongolia,,165CM,01/14/1973,
MAKHMUDJON SHAVKATOV,57kg,https://id.asiangames2018.id/athletes/athlete/SHAVKATOV-Makhmudjon-3000911/,Uzbekistan,UZB,Gulat,Uzbekistan,,160CM,06/26/1994,
MOHAMMED OTHMAN SHAWEEN,62kg,https://id.asiangames2018.id/athletes/athlete/SHAWEEN-Mohammed-Othman-3009265/,Kingdom of Saudi Arabia,KSA,Atletik,KingdomofSaudiArabia,,-,02/15/1986,
ANASTASIIA SHCHUKOVSKAIA,50kg,https://id.asiangames2018.id/athletes/athlete/SHCHUKOVSKAIA-Anastasiia-3024264/,Kyrgyzstan,KGZ,Menembak,Kyrgyzstan,BISHKEK,160CM,10/18/2002,
